,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95684,95685,2023-07-01 20:00:00,0,20,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95685,95686,2023-07-01 20:15:00,15,20,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95686,95687,2023-07-01 20:30:00,30,20,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95687,95688,2023-07-01 20:45:00,45,20,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95688,95689,2023-07-01 21:00:00,0,21,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95689,95690,2023-07-01 21:15:00,15,21,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95690,95691,2023-07-01 21:30:00,30,21,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95691,95692,2023-07-01 21:45:00,45,21,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95692,95693,2023-07-01 22:00:00,0,22,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95693,95694,2023-07-01 22:15:00,15,22,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95694,95695,2023-07-01 22:30:00,30,22,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95695,95696,2023-07-01 22:45:00,45,22,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95696,95697,2023-07-01 23:00:00,0,23,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95697,95698,2023-07-01 23:15:00,15,23,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95698,95699,2023-07-01 23:30:00,30,23,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95699,95700,2023-07-01 23:45:00,45,23,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95700,95701,2023-07-02 00:00:00,0,0,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95701,95702,2023-07-02 00:15:00,15,0,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
