,id,timestamp,increment,hour,date,week,week_in_year,month,month_name,quarter,year,period
99163,99164,2023-08-07 01:45:00,45,1,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99164,99165,2023-08-07 02:00:00,0,2,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99165,99166,2023-08-07 02:15:00,15,2,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99166,99167,2023-08-07 02:30:00,30,2,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99167,99168,2023-08-07 02:45:00,45,2,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99168,99169,2023-08-07 03:00:00,0,3,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99169,99170,2023-08-07 03:15:00,15,3,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99170,99171,2023-08-07 03:30:00,30,3,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99171,99172,2023-08-07 03:45:00,45,3,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99172,99173,2023-08-07 04:00:00,0,4,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99173,99174,2023-08-07 04:15:00,15,4,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99174,99175,2023-08-07 04:30:00,30,4,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99175,99176,2023-08-07 04:45:00,45,4,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99176,99177,2023-08-07 05:00:00,0,5,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99177,99178,2023-08-07 05:15:00,15,5,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99178,99179,2023-08-07 05:30:00,30,5,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99179,99180,2023-08-07 05:45:00,45,5,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99180,99181,2023-08-07 06:00:00,0,6,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99181,99182,2023-08-07 06:15:00,15,6,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99182,99183,2023-08-07 06:30:00,30,6,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99183,99184,2023-08-07 06:45:00,45,6,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99184,99185,2023-08-07 07:00:00,0,7,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99185,99186,2023-08-07 07:15:00,15,7,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99186,99187,2023-08-07 07:30:00,30,7,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99187,99188,2023-08-07 07:45:00,45,7,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99188,99189,2023-08-07 08:00:00,0,8,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99189,99190,2023-08-07 08:15:00,15,8,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99190,99191,2023-08-07 08:30:00,30,8,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99191,99192,2023-08-07 08:45:00,45,8,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99192,99193,2023-08-07 09:00:00,0,9,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99193,99194,2023-08-07 09:15:00,15,9,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99194,99195,2023-08-07 09:30:00,30,9,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99195,99196,2023-08-07 09:45:00,45,9,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99196,99197,2023-08-07 10:00:00,0,10,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99197,99198,2023-08-07 10:15:00,15,10,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99198,99199,2023-08-07 10:30:00,30,10,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99199,99200,2023-08-07 10:45:00,45,10,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99200,99201,2023-08-07 11:00:00,0,11,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99201,99202,2023-08-07 11:15:00,15,11,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99202,99203,2023-08-07 11:30:00,30,11,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99203,99204,2023-08-07 11:45:00,45,11,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99204,99205,2023-08-07 12:00:00,0,12,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99205,99206,2023-08-07 12:15:00,15,12,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99206,99207,2023-08-07 12:30:00,30,12,2023-08-07,32,32,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
